fecha,fuente,id,precio_eur,anio,km,modelo,combustible,transmision,ciudad,cp,url,foto
2026-04-28,autoscout24,"{'legacyId': None, 'crossReferenceId': None}",180000,1992,1,tte gr A,Gasolina,manual,Madrid,28021,https://www.autoscout24.es/anuncios/toyota-celica-tte-gr-a-gasolina-cat_ma70mo2050-468fdf09-4e19-4739-8b6d-e163476c8df8,https://prod.pictures.autoscout24.net/listing-images/468fdf09-4e19-4739-8b6d-e163476c8df8_7de90235-24f8-4727-9eb6-f3e2484c40b2.jpg/480x360.webp
2026-04-28,wallapop,celica-toyota-celica-vvtli-2003-920076338,8000,2003,170000,Celica Toyota celica vvtli 2003 192cv,,,,,https://es.wallapop.com/item/celica-toyota-celica-vvtli-2003-920076338,
2026-04-28,wallapop,toyota-celica-1252959062,8000,2002,232000,Toyota celica 7 g,,,,,https://es.wallapop.com/item/toyota-celica-1252959062,
2026-04-28,wallapop,toyota-celica-143-cv-1-8-vvt-i-1245575631,8499,2005,309000,"Toyota Celica 143 cv, 1.8 VVT-i",,,,,https://es.wallapop.com/item/toyota-celica-143-cv-1-8-vvt-i-1245575631,
2026-04-28,wallapop,toyota-celica-2002-1223453316,6000,2002,180000,toyota celica tuning,,,,,https://es.wallapop.com/item/toyota-celica-2002-1223453316,
2026-04-28,wallapop,toyota-celica-2002-1232222851,12700,2002,210000,Toyota Celica T23,,,,,https://es.wallapop.com/item/toyota-celica-2002-1232222851,
2026-04-28,wallapop,toyota-celica-2002-1243834711,7000,2002,215907,Toyota Celica 2002,,,,,https://es.wallapop.com/item/toyota-celica-2002-1243834711,
2026-04-28,wallapop,toyota-celica-2002-1254952125,3990,2002,100000,Toyota Celica 2002,,,,,https://es.wallapop.com/item/toyota-celica-2002-1254952125,
2026-04-28,wallapop,toyota-celica-2003-1199906793,10500,2003,185900,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1199906793,https://cdn.wallapop.com/images/10420/ju/e6/__/c10420p1199906793/i6084861596.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-2003-1209425616,4300,2003,260000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1209425616,https://cdn.wallapop.com/images/10420/k0/26/__/c10420p1209425616/i6157802342.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-2003-1227432309,4499,2003,160000,TOYOTA CELICA ETIQUETA MEDIOAMBIENTAL B 🟡,,,,,https://es.wallapop.com/item/toyota-celica-2003-1227432309,
2026-04-28,wallapop,toyota-celica-2003-1233140808,5500,2003,230000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1233140808,
2026-04-28,wallapop,toyota-celica-2003-1252175560,5850,2003,174000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1252175560,https://cdn.wallapop.com/images/10420/kp/ig/__/c10420p1252175560/i6433457567.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-2004-1022925334,10000,2004,20000,Toyota Celica Turbo LEER DESCRIPCION,,,,,https://es.wallapop.com/item/toyota-celica-2004-1022925334,
2026-04-28,wallapop,toyota-celica-2004-1241134283,4500,2004,320000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1241134283,
2026-04-28,wallapop,toyota-celica-2004-1242655929,9200,2004,170000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1242655929,https://cdn.wallapop.com/images/10420/kj/uf/__/c10420p1242655929/i6372591882.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-2004-1246948905,7500,2004,170000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1246948905,
2026-04-28,wallapop,toyota-celica-2005-1024930281,4500,2005,300000,Toyota Celica 2005,,,,,https://es.wallapop.com/item/toyota-celica-2005-1024930281,https://cdn.wallapop.com/images/10420/gy/7t/__/c10420p1024930281/i4997622176.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-2005-1062287403,2000,2000,220000,Toyota Celica 2005,,,,,https://es.wallapop.com/item/toyota-celica-2005-1062287403,
2026-04-28,wallapop,toyota-celica-2005-1219744955,450,2005,,Escape artesanal Don silencioso Toyota Celica 2005,,,,,https://es.wallapop.com/item/toyota-celica-2005-1219744955,https://cdn.wallapop.com/images/10420/k6/7d/__/c10420p1219744955/i6222796237.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-2005-969395431,9000,2005,185000,Toyota Celica 2005,,,,,https://es.wallapop.com/item/toyota-celica-2005-969395431,https://cdn.wallapop.com/images/10420/g1/5i/__/c10420p969395431/i4678568270.jpg?pictureSize=W640
2026-04-28,wallapop,toyota-celica-89-000km-2005-143cv-1252654296,11990,2005,89000,Toyota Celica 89.000KM 2005 143CV,,,,,https://es.wallapop.com/item/toyota-celica-89-000km-2005-143cv-1252654296,
2026-04-28,wallapop,toyota-celica-con-gas-glp-190-000-km-1178795416,7000,2004,193000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-con-gas-glp-190-000-km-1178795416,https://cdn.wallapop.com/images/10420/jh/to/__/c10420p1178795416/i5951092604.jpg?pictureSize=W640
